id,planet_a,planet_b,aspect_type,reading,is_positive,source_month,source_sign
44,太阳,木星,合相,太阳是你的名望宫（代表荣誉、奖励、成就）的守护星，包含着你给这个世界创造的和奉献的一切，在本年度最幸运的这一天，木星将与太阳合相。,TRUE,2022-03,天蝎座
45,火星,木星,合相,3月3日，冥王星和火星合相，让你的旅行充满美感奢华，木星和冥王星各发挥各的擅长，让你纵情享受。,TRUE,2022-03,天蝎座
46,金星,火星,合相,如果你的生日在11月22日附近，加减5天，你会从3月6日金星和火星的合相里获得双倍收益。,TRUE,2022-03,射手座
47,水星,天王星,合相,这个相位在满月前一天的3月17日达到顶峰，但水星和天王星到满月那天仍然紧密挨在一起，让你在这个月的这个时间段里幸运得像是个小精灵。,TRUE,2022-03,射手座
48,太阳,木星,合相,还有更多的好消息，我列出的这些只是非常特别的那些，3月5日是年度幸运日，因为幸运使者木星将与生命和力量之神太阳在双鱼座内相合，为巨蟹带来完美的加持。,TRUE,2022-03,巨蟹座
49,金星,火星,合相,要是你上个月也看了你的预测，你就能回想起金星和火星喜欢在一起，但却有很少相聚——通常我们能幸运地每年遇到一次金火相会，但有时我们得等上两年。,TRUE,2022-03,摩羯座
50,水星,天王星,六分相,我可太爱（这种来主星的关怀与保护）了！天王星六合水星，而水星不仅掌管着消息，，也同样是水瓶座第八宫的宫主星。,TRUE,2022-03,水瓶座
51,太阳,木星,合相,木星与太阳合相，而太阳掌管着水瓶座的伙伴关系宫，意味着你的成功似乎少不了“中间人”的帮助，对方可能是你的代理商、经纪人或其他类似的角色。,TRUE,2022-03,水瓶座
52,月亮,天王星,三分相,这次新月在另一方面也会引人注目——天王星将与月亮形成理想相位，意味着这笔钱很可能会出乎意料，很可能是由于你不断增长的职业声誉。,TRUE,2022-03,狮子座
53,太阳,木星,合相,太棒了！太阳是你的守护者，尽管幸运之神木星与太阳合相对每个人来说都会有好消息，但它会给你带来更好的财务消息，亲爱的狮子们。,TRUE,2022-03,狮子座
54,金星,火星,合相,金星和火星一直渴望在一起——他们是宇宙中一对恋人——但更常见的你，宇宙将火星和金星安排了不同的任务，发送到距离遥远的不同星座中。,TRUE,2022-03,狮子座
55,水星,木星,合相,3月20日水星将与木星合相（本身就是一个惊人的相位），而水星在你的星盘上掌管收入。,TRUE,2022-03,狮子座
56,水星,天王星,合相,在3月17日也就是满月之前，努力让事情变得有利可图，这一天天王星和水星也呈现六分相并互相协作，意味着会有更多关于资金流入的意外消息！这相位将与满月混合在一起（因为这些行星将在几天内保持彼此的位置），所以也请记住水星和天王星的这个好消息。,TRUE,2022-03,狮子座
57,水星,天王星,六分相,在3月17日也就是满月之前，努力让事情变得有利可图，这一天天王星和水星也呈现六分相并互相协作，意味着会有更多关于资金流入的意外消息！这相位将与满月混合在一起（因为这些行星将在几天内保持彼此的位置），所以也请记住水星和天王星的这个好消息。,TRUE,2022-03,狮子座
58,太阳,木星,合相,天王星现在正处于白羊座代表收入礼物和财产的第二宫，并且将和将换座的太阳以及新月有六合相位，并且在新月之后就会和幸运的木星也有同样的和谐位置。,TRUE,2022-03,白羊座
59,太阳,木星,六分相,天王星现在正处于白羊座代表收入礼物和财产的第二宫，并且将和将换座的太阳以及新月有六合相位，并且在新月之后就会和幸运的木星也有同样的和谐位置。,TRUE,2022-03,白羊座
60,太阳,金星,合相,太阳是白羊座第五宫的宫主星，所以如果你们是在单身状态的话，可能有机会迎来第1次的约会，在随后的那天（3月6日）非常有特别意义的是金星和火星将会在水瓶座合相，并且和太阳有和谐的角度，就会让一切都变得与众不同。,TRUE,2022-03,白羊座
61,太阳,木星,合相,木星和新月会亲密地挨在一起，同时还有其他的星星配合：代表惊喜的天王星会和太阳、新月形成精准的六分相，他可能会给你一到两个突破性进展，这件事和房地产、不动产有关。,TRUE,2022-03,金牛座
62,太阳,木星,六分相,木星和新月会亲密地挨在一起，同时还有其他的星星配合：代表惊喜的天王星会和太阳、新月形成精准的六分相，他可能会给你一到两个突破性进展，这件事和房地产、不动产有关。,TRUE,2022-03,金牛座
63,太阳,天王星,合相,4月30日日食时，太阳也将与天王星相合，所以你可能突然需要短途旅行去看望某位体弱多病的人，或者你可能需要去见一位正在进行秘密项目的同事，他需要你的意见。,TRUE,2022-04,双子座
64,金星,木星,合相,4月30日在金牛座的新月日偏食将使金星处于主导地位，值得注意的是，4月30日金星将与木星相合。,TRUE,2022-04,双子座
65,木星,海王星,合相,木星在你星盘第七宫还有更多要说的，4月12日，你人生中唯一一次，木星与海王星相合在婚姻和承诺宫。,TRUE,2022-04,处女座
66,金星,木星,合相,金星与木星相合在双鱼座每十二年才有一次，还正好赶上金牛座日食，让两个星象都更有力量和光彩。,TRUE,2022-04,处女座
67,木星,海王星,合相,我很好奇，想看看1920年代，木星与海王星是否有合相，当时西班牙流感刚结束，每个人脸上都洋溢着喜悦。,TRUE,2022-04,天秤座
68,太阳,天王星,合相,没错，这个月看起来什么相位都有呢！这个新月日食落于你代表他人钱财的第八宫，而代表意外发展的天王星现在也在金牛座，将在这个日食中与新月和太阳精准合相。,TRUE,2022-04,天秤座
69,金星,木星,合相,4月30日，金星会在你的日常工作宫奇迹般地和礼物与好运的施予者木星精准合相，形成一年中最壮观的相位，而且金星和木星都对金钱和利润有所助益。,TRUE,2022-04,天秤座
70,太阳,冥王星,四分相,冥王星在你的第四宫家宅宫可能会为你按下暂停键，然而冥王星可能会让你圈子里的某个人变得相当咄咄逼人——4月16日，冥王星将对太阳和满月形成挑战相位。,FALSE,2022-04,天秤座
71,木星,海王星,合相,但更重大的星象是，木星和海王星也在双鱼座游历，他们是运行周期极长的行星，所以此生唯一一次能够看到他们在双鱼座合相就是4月12日。,TRUE,2022-04,天蝎座
72,金星,木星,合相,4月30日的食相发生在金牛座，守护星是金星，你对于宇宙能量的喜爱是因为通常这种能量会推动奇迹发生，恰好此时金星与木星在双鱼座合相，也就是你的创意宫真爱宫。,TRUE,2022-04,天蝎座
73,木星,海王星,合相,我在想木星和海王星在1920年是否也合相了，就发现它们在1920年的3月和4月间合相在了充满创意的狮子座里。,TRUE,2022-04,射手座
74,金星,木星,合相,我非常期待这次食相带来的好结果，因为它将金星放到了中心位置上，引人注目的是，金星会和木星你的主星合相，而木星是伟大仁爱的。,TRUE,2022-04,射手座
75,太阳,水星,合相,当太阳和水星在4月2日合相，你的思想会被创意想法们激情点亮，你会势不可挡，所以要让这些想法不断涌现出来。,TRUE,2022-04,射手座
76,太阳,天王星,合相,有一点非常明确：无论会发生什么，都是完全出乎意料之外的，因为天王星将与新月和太阳相合。,TRUE,2022-04,巨蟹座
77,木星,海王星,合相,象征幸福、经济利益和扩张的木星，和代表灵感、创意、艺术、无私的爱、同理心和慈悲的海王星，都在双鱼座内，它也是水象星座，就像巨蟹的一样，完美地融合在一起。,TRUE,2022-04,巨蟹座
78,金星,木星,合相,我认为巨蟹接收到的应该是好消息，因为金牛座（4月30日的日食发生在金牛座）的主宰星是金星，届时金星和木星将在双鱼座28°亲密相合。,TRUE,2022-04,巨蟹座
79,木星,海王星,合相,象这种行星之间的合相是所有占星术相位中最强的，因为它会开启一段全新的周期，直到2035年木星与海王星在白羊座内相会才结束。,TRUE,2022-04,摩羯座
80,太阳,天王星,合相,天王星和太阳、新月在你的第5宫真爱宫内相合，意味着爱会在任何时候袭来，你会猝不及防地被新人打动。,TRUE,2022-04,摩羯座
81,木星,海王星,合相,之所以会相距这么长的时间，是因为海王星公转一圈需要168年的时间，而木星只需12年，所以两者合相是非常罕见的。,TRUE,2022-04,水瓶座
82,金星,木星,合相,木星和金星都在水瓶座的第二宫，即掌管收入和财产的宫位，而且两颗行星都与金钱和礼物联系紧密，这也侧面说明你会拥有执行计划所需的金钱。,TRUE,2022-04,水瓶座
83,木星,海王星,合相,我觉得木星与海王星的合相可能是未来精彩艺术表现的开端，它将为我们所处的时代提供模板。,TRUE,2022-04,狮子座
84,火星,天王星,合相,天王星代表意外事件，它将与金牛座的食相紧密结合，并与位于他人资源宫双鱼座、代表行动的火星完美结合。,TRUE,2022-04,狮子座
85,火星,土星,合相,4月初的时候，土星会和火星有合相，让你们感到自己所做的每一个举动，都必须非常的小心谨慎。,TRUE,2022-04,白羊座
86,火星,土星,合相,4月初始，火星会和土星形成合相，这个相位表明，在事业和其他行动上，你要小心谨慎，慢点行动。,TRUE,2022-04,金牛座
87,木星,海王星,合相,4月12日，海王星和木星会形成合相，每隔12-13年，这两颗星星才会形成一次合相。,TRUE,2022-04,金牛座
88,火星,天王星,合相,幸运的是，行动力极强的火星在你星盘中最深邃的地方运行（双鱼座12°），他会和天王星（金牛座14°）形成完美的合相，显化出一个幸福的结果。,TRUE,2022-04,金牛座
89,金星,木星,合相,4月30日，你的守护星金星会和木星形成合相，这个时候，我觉得你会爱上食相带来的变化。,TRUE,2022-04,金牛座
90,木星,冥王星,三分相,当这两颗行星形成和谐相位时，这可是件大新闻，而且这在2022年只会发生一次，就在5月3日，双鱼座末度的木星，精确地向摩羯座同在末度的冥王星发出了信号。,TRUE,2022-05,双子座
91,火星,木星,合相,接下来，让我们看看5月29日，因为火星将与木星相合，会让这一天成为很重要的一天，这也可能是你本月最喜欢的日子之一。,TRUE,2022-05,双子座
92,火星,木星,合相,火星与木星很少相合在白羊座，上次是在2011年5月，再之前是1975年6月，下次在2058年4月12日，你看，多稀有。,TRUE,2022-05,处女座
93,太阳,天王星,对分相,天王星很可能再次捣蛋，但这次它的运行轨迹并不像月初那样紧贴着，而是更宽广了——与天蝎座月食形成10°的对冲相位，与金牛座的太阳呈180°。,FALSE,2022-05,天秤座
94,太阳,土星,四分相,土星将与太阳和新月形成一个艰难相位——90°刑克相位（暗示会有障碍），而土星目前正在你的第五宫——掌管爱情、创造力和孩子的宫位。,FALSE,2022-05,天秤座
95,火星,木星,合相,在最近的记忆中上一次发生这种情况——木星在白羊座与火星合相——还是1975年6月16日，以及2011年5月11日——再加上现在2022年5月29日。,TRUE,2022-05,天秤座
96,太阳,天王星,合相,此新月伴随惊喜，因为天王星代表意想不到的消息，他与太阳和新月食相运行紧密，所以你的婚姻或业务合作会发生变化或意外之喜。,TRUE,2022-05,天蝎座
97,太阳,月亮,三分相,此时火星仍然位于你的真爱宫双鱼座，与天蝎座的月亮呈拱相，与金牛座的太阳呈三分相，三者呈相几乎达到精确度数。,TRUE,2022-05,天蝎座
98,火星,海王星,合相,火星与海王星合相，所以你的创造力和想象力表现出来，你对于艺术的理解和成熟品味会在工作采访或汇报会议上得到大家的赞赏。,TRUE,2022-05,天蝎座
99,太阳,月亮,合相,这个项目的一切似乎都非常的未来化，或者是基于一个新兴产业，因为掌管着未来的天王星和太阳以及月亮呈合相。,TRUE,2022-05,射手座
100,太阳,木星,三分相,白羊座跟你一样都是火象星座，所以木星会与你本命盘中的太阳呈三分相，这是一个绝佳的能够帮助你从各种层面都获得好运的相位。,TRUE,2022-05,射手座
101,火星,木星,合相,这个时间还有一件重要的事情会发生，就在一天之前的5月29日，火星会和木星在白羊座合相。,TRUE,2022-05,射手座
102,太阳,天王星,合相,天王星，掌管着惊喜和惊讶的行星和太阳以及新月合相，所以无论发生什么，肯定都是你意想之外的。,TRUE,2022-05,射手座
103,太阳,火星,合相,在 4 月 30 日日食的同时，你有火星这个活动行星，与太阳和新月形成完美的角度，这很可爱，而且那个轨道是一个紧密而接近的轨道。,TRUE,2022-05,巨蟹座
104,木星,冥王星,合相,5 月 3 日，木星和冥王星将形成一个确定的相位，当这两个金融行星在一起时，这就是占星家所说的成功的标志。,TRUE,2022-05,巨蟹座
105,火星,木星,合相,一旦火星在 5 月 24 日进入白羊座，它将与木星合力，最终在 5 月 29 日这两个行星在你的奖项和荣誉宫罕见地合相。,TRUE,2022-05,巨蟹座
106,太阳,天王星,合相,然而，也有可能会发生“最后一秒定乾坤”的情况，因为你的主星天王星跟这个满月对冲，且与太阳紧紧相依（并未精确合相）。,TRUE,2022-05,水瓶座
107,太阳,天王星,对分相,然而，也有可能会发生“最后一秒定乾坤”的情况，因为你的主星天王星跟这个满月对冲，且与太阳紧紧相依（并未精确合相）。,FALSE,2022-05,水瓶座
108,月亮,冥王星,三分相,作为天蝎座的另一颗主星，正停留在摩羯座的冥王星也会跟这个满月及月亮形成和谐相位，为你提供支持与帮助。,TRUE,2022-05,水瓶座
109,太阳,月亮,合相,天王星在这次日蚀中会非常活跃，因为它到达时与太阳和月亮相合，使之成为一个动荡和不稳定的时期。,TRUE,2022-05,狮子座
110,金星,木星,合相,此外，木星是双鱼座的两个统治者之一，另一个是海王星，该行星也与你的第八宫其他人的钱财的金星相合，只有几个小度的距离，在双鱼座24度（也被认为是合相）。,TRUE,2022-05,狮子座
111,太阳,木星,三分相,木星在火象星座（白羊座）将是你的福音--这是个好消息，因为你已经多年没有木星与太阳三合了，这被认为是最神圣的一面。,TRUE,2022-05,狮子座
112,太阳,天王星,合相,）天王星，代表意外事件，正好与太阳和新月相合，带来不稳定的影响，意味着白羊座正在经历收入、外支出或薪水的变化。,TRUE,2022-05,白羊座
113,水星,木星,六分相,水星对富有想象力、富有创造力的海王星和幸运的木星夹角很友好（在最初木星入白羊座期间，还没有达到和木星六合的精准相位）。,TRUE,2022-05,白羊座
114,火星,木星,合相,让我特别高兴的部分是幸运的木星和行动力爆棚的火星的合相，发生在5月29日的白羊座。,TRUE,2022-05,白羊座
115,太阳,土星,对分相,天王星会和满月月食形成宽泛的对分相，这个相位会引发一些突然的波动，而土星也会和太阳形成刑相，你可能会觉得格外有压力，要更努力地工作、承担更大的责任。,FALSE,2022-05,金牛座
116,火星,土星,合相,随着火星和土星努力将事情确定下来，要确保你已经彻底审查了正在雇用或合作的人，因为看起来你们将在一起工作很长时间。,TRUE,2022-06,双子座
117,太阳,海王星,四分相,第二个相位将发生在同一时间，6月14日，当目前在你代表名声和荣誉的专业第十宫的海王星，将与太阳和满月形成困难的四分相。,FALSE,2022-06,双子座
118,火星,木星,合相,然而木星能不能遇上对的行星这件事就不好说了，但是，老天有眼，这个时候正好有一颗完美的行星经过，那就是火星，5月29日，火星与木星相合。,TRUE,2022-06,双鱼座
119,太阳,月亮,三分相,更妙的是，木火二星，这对黄金组合，成完美相位，向双子座的太阳和月亮输送能量，帮助你实现与家庭和家宅有关的计划，可以是现在，也可以是未来几个月期间。,TRUE,2022-06,双鱼座
120,太阳,海王星,四分相,在这种双鱼座海王星与双子座太阳和射手座满月成困难相位的时候，千万要咨询律师的意见。,FALSE,2022-06,双鱼座
121,水星,木星,三分相,6月20日，水星木星成和谐相位，可能听到金钱方面的好消息——某个项目完结，钱到账了。,TRUE,2022-06,双鱼座
122,水星,木星,六分相,6月14日木星与水星六分相（意味着机会）开始入相位，6月20日精确呈相，但满月时就足够用了。,TRUE,2022-06,处女座
123,金星,天王星,合相,那时，掌管乐趣的金星和掌管冲动与惊喜的天王星相合，说走咱就走，很适合出去玩的周末。,TRUE,2022-06,处女座
124,金星,天王星,合相,有一天我想让你留意一下钱财方面的好消息，那就是6月11日（或者也可能是6月10日）——你的守护星金星将与代表惊喜的天王星在你的第八宫他人钱财宫相合。,TRUE,2022-06,天秤座
125,水星,木星,合相,木星和水星将在6月20日呈精准六分相——这意味着一个机会即将到来，但你能够在6月14日的时候更早感受到这个相位，因为它在朝着精准合相的方向移动。,TRUE,2022-06,天秤座
126,水星,木星,六分相,木星和水星将在6月20日呈精准六分相——这意味着一个机会即将到来，但你能够在6月14日的时候更早感受到这个相位，因为它在朝着精准合相的方向移动。,TRUE,2022-06,天秤座
127,太阳,海王星,四分相,不过，问题是海王星将对太阳和满月形成一个具有挑战的艰难的刑克相位，这意味着真相会被蒙蔽或完全忽视。,FALSE,2022-06,天秤座
128,太阳,土星,三分相,土星，掌管着结构，长远思考的星星，将会朝太阳照射出120度的光芒——这是最和谐的相位。,TRUE,2022-06,射手座
129,太阳,木星,四分相,你是被木星守护的孩子，这次新月的时候他会跟太阳呈四分相（一个困难的角度），所以如果你正在申请资金的话，那你需要现实一些，这样才能够让你的投资人对你保持好的期许并且批准你的请求。,FALSE,2022-06,射手座
130,金星,天王星,合相,金星与天王星的精确合相带来第一个惊喜，你可能受到临时的冲动邀约，不管怎样，接受就对了。,TRUE,2022-06,巨蟹座
131,火星,木星,合相,到了5月底，木星和火星将在你的家宅宫白羊座内构成决定性的合相，与新月发生在同一时间。,TRUE,2022-06,摩羯座
132,金星,天王星,合相,在6月11日周六这个日期上打个圈，因为彼时金星将同天王星在金牛座内合相，这对于意外地结识某人而言是个完美的相位——丘比特的天使舰队们将在空中盘旋，尽其所能帮助你。,TRUE,2022-06,摩羯座
133,金星,天王星,合相,可以考虑在6月11日的那个周六安排一次派对，届时会有金星与天王星的合相，非常具有冲击力的星象。,TRUE,2022-06,水瓶座
134,金星,天王星,合相,此外，金星掌管着你的第十宫，金星和天王星在合相时将位于同一个位置，这一相位的强度将加倍。,TRUE,2022-06,狮子座
135,太阳,海王星,四分相,海王星将与太阳和满月形成困难相位，因此海王星将为现实蒙上一层薄纱，增加你对个人或情况看不清楚的机会，让你更理想化。,FALSE,2022-06,狮子座
136,金星,天王星,合相,6月11日可以关注一下，会有突如其来的财运方面好消息到来，因为在那天金星和天王星会在金牛座有合相。,TRUE,2022-06,白羊座
137,火星,木星,合相,6月的第一周，礼物和好运的给予者木星仍然和火星相合（从5月29日一直到现在），也就是说，你的行动很容易带来利润。,TRUE,2022-06,金牛座
138,金星,天王星,合相,这个月是你闪闪发光的月份，金星在说“爱我”，而天王星代表“一瞬间的惊喜”，6月11日周六，这两颗星星会形成合相（他们都在金牛座，会形成精准的合相），这一天非常特殊。,TRUE,2022-06,金牛座
139,水星,土星,三分相,水瓶座的土星将与双子座的水星形成宽泛的三分相，这是一个绝佳的相位，给你带来更大的稳定和安全感。,TRUE,2022-07,双子座
140,太阳,天王星,六分相,"这就是它的乐趣所在！我认为你可能会对得到的财务消息感到高兴的原因是，位于金牛座18度的天王星将与摩羯座21度的满月形成""三分相""，与巨蟹座21度的太阳形成 ""六分相""——都是非常积极的相位。",TRUE,2022-07,双子座
141,太阳,天王星,三分相,"这就是它的乐趣所在！我认为你可能会对得到的财务消息感到高兴的原因是，位于金牛座18度的天王星将与摩羯座21度的满月形成""三分相""，与巨蟹座21度的太阳形成 ""六分相""——都是非常积极的相位。",TRUE,2022-07,双子座
142,火星,天王星,合相,其实，7月31日到8月1日火星与天王星相合，你可能临时起意说走就走——是个好主意。,TRUE,2022-07,处女座
143,太阳,月亮,合相,有天王星在，你永远无法猜到会有什么消息，但我感觉这个相位还不错，因为这颗充满意外的天王星非常友好且紧密地给月亮发射了光束，对太阳也很友好，你会喜欢突如其来的意外的。,TRUE,2022-07,天秤座
144,天王星,冥王星,合相,冥王星会与7月13日的满月形成没那么精准的合相（但还是在影响范围内），而且对天王星很友好，所以如果你需要贷款，你可能会发现可以从银行获得，而且似乎流程会比你想象的简单。,TRUE,2022-07,天秤座
145,水星,土星,对分相,在本月这个时间点去旅行可能会带来复杂的情况（掌管旅行的水星将与土星对冲，带来延误），所以你不妨待在家里，邀请最亲密的朋友来家里玩。,FALSE,2022-07,天秤座
146,太阳,木星,三分相,还有一则消息！7月30-31日的这个周末，太阳在狮子座，木星在白羊座，它们会形成一个精准三分相，这是一个极其和谐的相位。,TRUE,2022-07,天秤座
147,金星,木星,六分相,金星是你的守护星，和代表好运的木星形成了一个六分相，你可能会发现，在别人去度假的时候，你正处于合适的时机和合适的地方，可以好好利用一个绝佳的职业机遇。,TRUE,2022-07,天秤座
148,火星,天王星,合相,7月31日，火星与天王星的合相会让它们聚合力量，在这一天前后几天带来意料之外的财务消息。,TRUE,2022-07,天秤座
